infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;1;3;3;160;0;0.0;0.0;0;0;3;3;0;0;0;0;0;0
dk;incremental;True;1;4;8;160;0.6666666666666666;0.5;0.5;0.5714285714285715;0.5714285714285715;8;8;4;6;6;0;6;0
dk;incremental;True;1;5;4;160;1.0;0.25;0.25;0.4;0.4;4;4;1;1;1;0;1;0
dk;incremental;True;1;6;5;160;1.0;0.2;0.2;0.33333333333333337;0.33333333333333337;5;5;1;1;1;0;1;0
dk;incremental;True;1;7;7;160;0.6666666666666666;0.2857142857142857;0.2857142857142857;0.4;0.4;7;7;2;3;3;0;3;0
dk;incremental;True;1;8;4;160;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;4;4;2;2;2;0;2;0
dk;incremental;True;1;9;4;160;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4;5;2;2;2;0;2;0
dk;incremental;True;1;10;3;160;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3;3;1;1;1;0;1;0
dk;incremental;True;1;11;6;160;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.4444444444444444;6;6;2;3;3;0;3;0
dk;incremental;True;1;12;6;160;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;6;6;4;4;4;0;4;0
dk;incremental;True;1;13;10;160;0.7142857142857143;0.45454545454545453;0.5555555555555556;0.5555555555555556;0.6250000000000001;9;11;5;7;7;0;7;0
dk;incremental;True;1;14;3;160;0.5;0.25;0.3333333333333333;0.3333333333333333;0.4;3;4;1;2;2;0;2;0
dk;incremental;True;1;15;6;160;0.8;0.6666666666666666;0.6666666666666666;0.7272727272727272;0.7272727272727272;6;6;4;5;5;0;5;0
dk;incremental;True;1;16;8;160;1.0;0.25;0.25;0.4;0.4;8;8;2;2;2;0;2;0
dk;incremental;True;1;17;4;160;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4;5;2;2;2;0;2;0
dk;incremental;True;1;18;2;160;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;incremental;True;1;19;3;160;1.0;0.2;0.3333333333333333;0.33333333333333337;0.5;3;5;1;1;1;0;1;0
dk;incremental;True;1;20;3;160;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3;3;2;3;3;0;3;0
dk;incremental;True;1;21;6;160;0.0;0.0;0.0;0;0;5;6;0;2;2;0;2;0
dk;incremental;True;1;22;12;160;0.8;0.3333333333333333;0.3333333333333333;0.47058823529411764;0.47058823529411764;12;12;4;5;5;0;5;0
dk;incremental;True;1;23;3;160;1.0;0.5;0.6666666666666666;0.6666666666666666;0.8;3;4;2;2;2;0;2;0
dk;incremental;True;1;24;5;160;0.8;0.8;0.8;0.8000000000000002;0.8000000000000002;5;5;4;5;5;0;5;0
dk;incremental;True;1;25;7;160;0.6666666666666666;0.5714285714285714;0.6666666666666666;0.6153846153846153;0.6666666666666666;6;7;4;6;6;0;6;0
dk;incremental;True;1;26;3;160;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;1;27;7;160;0.8;0.5;0.5714285714285714;0.6153846153846154;0.6666666666666666;7;8;4;5;5;0;5;0
dk;incremental;True;1;28;7;160;1.0;0.75;0.8571428571428571;0.8571428571428571;0.923076923076923;7;8;6;6;6;0;6;0
dk;incremental;True;1;29;4;160;1.0;0.2;0.25;0.33333333333333337;0.4;4;5;1;1;1;0;1;0
dk;incremental;True;1;30;8;160;0.75;0.75;0.75;0.75;0.75;8;8;6;8;8;0;8;0
dk;incremental;True;1;31;5;160;0.6666666666666666;0.3333333333333333;0.4;0.4444444444444444;0.5;5;6;2;3;3;0;3;0
dk;incremental;True;1;32;3;160;0.3333333333333333;0.25;0.3333333333333333;0.28571428571428575;0.3333333333333333;3;4;1;3;3;0;3;0
dk;incremental;True;1;33;11;160;0.75;0.5;0.6;0.6;0.6666666666666665;10;12;6;8;8;0;8;0
dk;incremental;True;1;34;3;160;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;1;35;2;160;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;36;4;160;1.0;0.2;0.25;0.33333333333333337;0.4;4;5;1;1;1;0;1;0
dk;incremental;True;1;37;2;160;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;38;8;160;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;8;8;6;6;6;0;6;0
dk;incremental;True;1;39;6;160;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;incremental;True;1;40;6;160;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;6;6;4;4;4;0;4;0
dk;incremental;True;1;41;4;160;1.0;0.6;0.75;0.7499999999999999;0.8571428571428571;4;5;3;3;3;0;3;0
dk;incremental;True;1;42;6;160;0.6;0.5;0.5;0.5454545454545454;0.5454545454545454;6;6;3;5;5;0;5;0
dk;incremental;True;1;43;2;160;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;44;3;160;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;1;45;3;160;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3;3;2;2;2;0;2;0
dk;incremental;True;1;46;2;160;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;47;5;160;0.3333333333333333;0.2;0.2;0.25;0.25;5;5;1;3;3;0;3;0
dk;incremental;True;1;48;5;160;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;1;49;2;160;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;incremental;True;1;50;7;160;0.8;0.5714285714285714;0.5714285714285714;0.6666666666666666;0.6666666666666666;7;7;4;5;5;0;5;0
dk;incremental;True;1;51;1;160;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;52;3;160;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3;3;2;2;2;0;2;0
dk;incremental;True;1;53;7;160;1.0;1.0;1.0;1.0;1.0;7;7;7;7;7;0;7;0
dk;incremental;True;1;54;6;160;1.0;0.42857142857142855;0.5;0.6;0.6666666666666666;6;7;3;3;3;0;3;0
dk;incremental;True;1;55;5;160;0.75;0.6;0.6;0.6666666666666665;0.6666666666666665;5;5;3;4;4;0;4;0
dk;incremental;True;1;56;3;160;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3;3;2;2;2;0;2;0
dk;incremental;True;1;57;1;160;0.0;0.0;0.0;0;0;1;2;0;1;1;0;1;0
dk;incremental;True;1;58;3;160;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;1;59;6;160;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;incremental;True;1;60;2;160;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;incremental;True;1;61;7;160;0.6;0.42857142857142855;0.42857142857142855;0.5;0.5;7;7;3;5;5;0;5;0
dk;incremental;True;1;62;6;160;1.0;0.14285714285714285;0.16666666666666666;0.25;0.2857142857142857;6;7;1;1;1;0;1;0
dk;incremental;True;1;63;5;160;0.75;0.6;0.6;0.6666666666666665;0.6666666666666665;5;5;3;4;4;0;4;0
dk;incremental;True;1;64;9;160;1.0;0.7777777777777778;0.7777777777777778;0.8750000000000001;0.8750000000000001;9;9;7;7;7;0;7;0
dk;incremental;True;1;65;5;160;1.0;1.0;1.0;1.0;1.0;5;5;5;5;5;0;5;0
dk;incremental;True;1;66;5;160;1.0;1.0;1.0;1.0;1.0;5;5;5;5;5;0;5;0
dk;incremental;True;1;67;8;160;0.75;0.75;0.75;0.75;0.75;8;8;6;8;8;0;8;0
dk;incremental;True;1;68;4;160;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;incremental;True;1;69;2;160;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;incremental;True;1;70;7;160;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;7;7;6;7;7;0;7;0
dk;incremental;True;1;71;6;160;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;incremental;True;1;72;6;160;1.0;0.5714285714285714;0.6666666666666666;0.7272727272727273;0.8;6;7;4;4;4;0;4;0
dk;incremental;True;1;73;5;160;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;1;74;5;160;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;1;75;2;160;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;1;76;4;160;0.6666666666666666;0.5;0.5;0.5714285714285715;0.5714285714285715;4;4;2;3;3;0;3;0
dk;incremental;True;1;77;7;160;0.8;0.5714285714285714;0.5714285714285714;0.6666666666666666;0.6666666666666666;7;7;4;5;5;0;5;0
dk;incremental;True;1;78;4;160;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;incremental;True;1;79;3;160;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;1;80;3;160;1.0;0.75;1.0;0.8571428571428571;1.0;3;4;3;3;3;0;3;0
dk;incremental;True;1;81;7;160;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;7;7;6;7;7;0;7;0
dk;incremental;True;1;82;5;160;0.75;0.6;0.6;0.6666666666666665;0.6666666666666665;5;5;3;4;4;0;4;0
dk;incremental;True;1;83;5;160;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;1;84;4;160;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;incremental;True;1;85;4;160;0.75;0.75;0.75;0.75;0.75;4;4;3;4;4;0;4;0
dk;incremental;True;1;86;5;160;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;1;87;7;160;1.0;0.2857142857142857;0.2857142857142857;0.4444444444444445;0.4444444444444445;7;7;2;2;2;0;2;0
dk;incremental;True;1;88;4;160;0.6666666666666666;0.5;0.5;0.5714285714285715;0.5714285714285715;4;4;2;3;3;0;3;0
dk;incremental;True;1;89;6;160;0.8;0.5714285714285714;0.6666666666666666;0.6666666666666666;0.7272727272727272;6;7;4;5;5;0;5;0
dk;incremental;True;1;90;2;160;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;1;91;4;160;1.0;0.6;0.75;0.7499999999999999;0.8571428571428571;4;5;3;3;3;0;3;0
dk;incremental;True;1;92;5;160;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;1;93;6;160;0.6;0.5;0.5;0.5454545454545454;0.5454545454545454;6;6;3;5;5;0;5;0
dk;incremental;True;1;94;6;160;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;6;6;4;4;4;0;4;0
dk;incremental;True;1;95;3;160;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;1;96;4;160;0.75;0.75;0.75;0.75;0.75;4;4;3;4;4;0;4;0
dk;incremental;True;1;97;4;160;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4;4;3;3;3;0;3;0
dk;incremental;True;1;98;3;160;0.6666666666666666;0.5;0.6666666666666666;0.5714285714285715;0.6666666666666666;3;4;2;3;3;0;3;0
dk;incremental;True;1;99;3;160;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;1;100;5;160;0.5;0.3333333333333333;0.4;0.4;0.4444444444444445;5;6;2;4;4;0;4;0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;2;2;4;327;0;0.0;0.0;0;0;4;5;0;0;0;0;0;0
dk;incremental;True;2;3;3;327;0;0.0;0.0;0;0;3;3;0;0;0;0;0;0
dk;incremental;True;2;4;8;327;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;8;8;4;4;4;0;4;0
dk;incremental;True;2;5;4;327;1.0;0.25;0.25;0.4;0.4;4;4;1;1;1;0;1;0
dk;incremental;True;2;6;5;327;1.0;0.4;0.4;0.5714285714285715;0.5714285714285715;5;5;2;2;2;0;2;0
dk;incremental;True;2;7;7;327;1.0;0.2857142857142857;0.2857142857142857;0.4444444444444445;0.4444444444444445;7;7;2;2;2;0;2;0
dk;incremental;True;2;8;4;327;1.0;0.25;0.25;0.4;0.4;4;4;1;1;1;0;1;0
dk;incremental;True;2;9;4;327;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4;5;2;2;2;0;2;0
dk;incremental;True;2;10;3;327;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3;3;1;1;1;0;1;0
dk;incremental;True;2;11;6;327;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;6;6;2;2;2;0;2;0
dk;incremental;True;2;12;6;327;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;6;6;4;4;4;0;4;0
dk;incremental;True;2;13;10;327;0.7142857142857143;0.45454545454545453;0.5555555555555556;0.5555555555555556;0.6250000000000001;9;11;5;7;7;0;7;0
dk;incremental;True;2;14;3;327;0.0;0.0;0.0;0;0;3;4;0;1;1;0;1;0
dk;incremental;True;2;15;6;327;0.8;0.6666666666666666;0.6666666666666666;0.7272727272727272;0.7272727272727272;6;6;4;5;5;0;5;0
infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;2;16;8;327;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;8;8;4;4;4;0;4;0
dk;incremental;True;2;17;4;327;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4;5;2;2;2;0;2;0
dk;incremental;True;2;18;2;327;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;incremental;True;2;19;3;327;1.0;0.4;0.6666666666666666;0.5714285714285715;0.8;3;5;2;2;2;0;2;0
dk;incremental;True;2;20;3;327;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3;3;2;3;3;0;3;0
dk;incremental;True;2;21;6;327;0.0;0.0;0.0;0;0;5;6;0;2;2;0;2;0
dk;incremental;True;2;22;12;327;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;12;12;4;4;4;0;4;0
dk;incremental;True;2;23;3;327;1.0;0.75;1.0;0.8571428571428571;1.0;3;4;3;3;3;0;3;0
dk;incremental;True;2;24;5;327;0.8;0.8;0.8;0.8000000000000002;0.8000000000000002;5;5;4;5;5;0;5;0
dk;incremental;True;2;25;7;327;0.8;0.5714285714285714;0.6666666666666666;0.6666666666666666;0.7272727272727272;6;7;4;5;5;0;5;0
dk;incremental;True;2;26;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;27;7;327;1.0;0.5;0.5714285714285714;0.6666666666666666;0.7272727272727273;7;8;4;4;4;0;4;0
dk;incremental;True;2;28;7;327;1.0;0.75;0.8571428571428571;0.8571428571428571;0.923076923076923;7;8;6;6;6;0;6;0
dk;incremental;True;2;29;4;327;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4;5;2;2;2;0;2;0
dk;incremental;True;2;30;8;327;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;8;8;6;6;6;0;6;0
dk;incremental;True;2;31;5;327;1.0;0.3333333333333333;0.4;0.5;0.5714285714285715;5;6;2;2;2;0;2;0
dk;incremental;True;2;32;3;327;1.0;0.5;0.6666666666666666;0.6666666666666666;0.8;3;4;2;2;2;0;2;0
dk;incremental;True;2;33;11;327;0.875;0.5833333333333334;0.7;0.7000000000000001;0.7777777777777777;10;12;7;8;8;0;8;0
dk;incremental;True;2;34;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;35;2;327;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;2;36;4;327;1.0;0.2;0.25;0.33333333333333337;0.4;4;5;1;1;1;0;1;0
dk;incremental;True;2;37;2;327;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;2;38;8;327;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;8;8;6;6;6;0;6;0
dk;incremental;True;2;39;6;327;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;incremental;True;2;40;6;327;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;incremental;True;2;41;4;327;1.0;0.6;0.75;0.7499999999999999;0.8571428571428571;4;5;3;3;3;0;3;0
dk;incremental;True;2;42;6;327;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;incremental;True;2;43;2;327;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;2;44;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;45;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;46;2;327;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;2;47;5;327;0.6;0.6;0.6;0.6;0.6;5;5;3;5;5;0;5;0
dk;incremental;True;2;48;5;327;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;2;49;2;327;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;2;50;7;327;0.8333333333333334;0.7142857142857143;0.7142857142857143;0.7692307692307692;0.7692307692307692;7;7;5;6;6;0;6;0
dk;incremental;True;2;51;1;327;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;52;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;53;7;327;1.0;1.0;1.0;1.0;1.0;7;7;7;7;7;0;7;0
dk;incremental;True;2;54;6;327;1.0;0.7142857142857143;0.8333333333333334;0.8333333333333333;0.9090909090909091;6;7;5;5;5;0;5;0
dk;incremental;True;2;55;5;327;0.8;0.8;0.8;0.8000000000000002;0.8000000000000002;5;5;4;5;5;0;5;0
dk;incremental;True;2;56;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;57;1;327;0.0;0.0;0.0;0;0;1;2;0;1;1;0;1;0
dk;incremental;True;2;58;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;59;6;327;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;incremental;True;2;60;2;327;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;incremental;True;2;61;7;327;1.0;0.8571428571428571;0.8571428571428571;0.923076923076923;0.923076923076923;7;7;6;6;6;0;6;0
dk;incremental;True;2;62;6;327;0.5;0.14285714285714285;0.16666666666666666;0.22222222222222224;0.25;6;7;1;2;2;0;2;0
dk;incremental;True;2;63;5;327;0.8;0.8;0.8;0.8000000000000002;0.8000000000000002;5;5;4;5;5;0;5;0
dk;incremental;True;2;64;9;327;1.0;0.7777777777777778;0.7777777777777778;0.8750000000000001;0.8750000000000001;9;9;7;7;7;0;7;0
dk;incremental;True;2;65;5;327;1.0;1.0;1.0;1.0;1.0;5;5;5;5;5;0;5;0
dk;incremental;True;2;66;5;327;1.0;1.0;1.0;1.0;1.0;5;5;5;5;5;0;5;0
dk;incremental;True;2;67;8;327;1.0;1.0;1.0;1.0;1.0;8;8;8;8;8;0;8;0
dk;incremental;True;2;68;4;327;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;incremental;True;2;69;2;327;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;global;True;1;1;8;165;0.8571428571428571;0.75;0.75;0.7999999999999999;0.7999999999999999;8;8;6;7;7;0;7;0
dk;incremental;True;2;70;7;327;1.0;1.0;1.0;1.0;1.0;7;7;7;7;7;0;7;0
dk;global;True;1;2;4;165;0.75;0.6;0.75;0.6666666666666665;0.75;4;5;3;4;4;0;4;0
dk;incremental;True;2;71;6;327;1.0;1.0;1.0;1.0;1.0;6;6;6;6;6;0;6;0
dk;global;True;1;3;3;165;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3;3;2;2;2;0;2;0
dk;incremental;True;2;72;6;327;1.0;0.7142857142857143;0.8333333333333334;0.8333333333333333;0.9090909090909091;6;7;5;5;5;0;5;0
dk;global;True;1;4;8;165;0.625;0.625;0.625;0.625;0.625;8;8;5;8;8;0;8;0
dk;incremental;True;2;73;5;327;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;2;74;5;327;1.0;0.6;0.6;0.7499999999999999;0.7499999999999999;5;5;3;3;3;0;3;0
dk;global;True;1;5;4;165;0.6666666666666666;0.5;0.5;0.5714285714285715;0.5714285714285715;4;4;2;3;3;0;3;0
dk;incremental;True;2;75;2;327;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;2;76;4;327;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;global;True;1;6;5;165;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;global;True;1;7;7;165;1.0;0.8571428571428571;0.8571428571428571;0.923076923076923;0.923076923076923;7;7;6;6;6;0;6;0
dk;incremental;True;2;77;7;327;0.8;0.5714285714285714;0.5714285714285714;0.6666666666666666;0.6666666666666666;7;7;4;5;5;0;5;0
dk;global;True;1;8;4;165;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;incremental;True;2;78;4;327;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;global;True;1;9;4;165;1.0;0.8;1.0;0.888888888888889;1.0;4;5;4;4;4;0;4;0
dk;incremental;True;2;79;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;global;True;1;10;3;165;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3;3;2;3;3;0;3;0
dk;incremental;True;2;80;3;327;1.0;0.75;1.0;0.8571428571428571;1.0;3;4;3;3;3;0;3;0
dk;global;True;1;11;6;165;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;6;6;4;6;6;0;6;0
dk;incremental;True;2;81;7;327;1.0;1.0;1.0;1.0;1.0;7;7;7;7;7;0;7;0
dk;global;True;1;12;6;165;1.0;1.0;1.0;1.0;1.0;6;6;6;6;6;0;6;0
dk;incremental;True;2;82;5;327;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;incremental;True;2;83;5;327;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;global;True;1;13;10;165;0.875;0.6363636363636364;0.7;0.7368421052631579;0.7777777777777777;10;11;7;8;8;0;8;0
dk;incremental;True;2;84;4;327;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;global;True;1;14;3;165;0.5;0.25;0.3333333333333333;0.3333333333333333;0.4;3;4;1;2;2;0;2;0
dk;incremental;True;2;85;4;327;1.0;1.0;1.0;1.0;1.0;4;4;4;4;4;0;4;0
dk;global;True;1;15;6;165;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;6;6;5;6;6;0;6;0
dk;incremental;True;2;86;5;327;1.0;1.0;1.0;1.0;1.0;5;5;5;5;5;0;5;0
dk;global;True;1;16;8;165;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;8;8;6;6;6;0;6;0
dk;incremental;True;2;87;7;327;1.0;0.42857142857142855;0.42857142857142855;0.6;0.6;7;7;3;3;3;0;3;0
dk;incremental;True;2;88;4;327;0.5;0.5;0.5;0.5;0.5;4;4;2;4;4;0;4;0
dk;global;True;1;17;4;165;1.0;0.6;0.75;0.7499999999999999;0.8571428571428571;4;5;3;3;3;0;3;0
dk;global;True;1;18;2;165;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2;2;1;1;1;0;1;0
dk;incremental;True;2;89;6;327;0.8333333333333334;0.7142857142857143;0.8333333333333334;0.7692307692307692;0.8333333333333334;6;7;5;6;6;0;6;0
dk;global;True;1;19;3;165;1.0;0.6;1.0;0.7499999999999999;1.0;3;5;3;3;3;0;3;0
dk;incremental;True;2;90;2;327;0.5;0.5;0.5;0.5;0.5;2;2;1;2;2;0;2;0
dk;incremental;True;2;91;4;327;1.0;0.6;0.75;0.7499999999999999;0.8571428571428571;4;5;3;3;3;0;3;0
dk;incremental;True;2;92;5;327;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5;5;4;4;4;0;4;0
dk;global;True;1;20;3;165;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3;3;2;3;3;0;3;0
dk;incremental;True;2;93;6;327;0.6;0.5;0.5;0.5454545454545454;0.5454545454545454;6;6;3;5;5;0;5;0
dk;incremental;True;2;94;6;327;1.0;0.8333333333333334;0.8333333333333334;0.9090909090909091;0.9090909090909091;6;6;5;5;5;0;5;0
dk;incremental;True;2;95;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;96;4;327;0.75;0.75;0.75;0.75;0.75;4;4;3;4;4;0;4;0
dk;global;True;1;21;6;165;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;6;6;2;6;6;0;6;0
dk;incremental;True;2;97;4;327;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4;4;3;3;3;0;3;0
dk;incremental;True;2;98;3;327;0.6666666666666666;0.5;0.6666666666666666;0.5714285714285715;0.6666666666666666;3;4;2;3;3;0;3;0
dk;global;True;1;22;12;165;0.75;0.75;0.75;0.75;0.75;12;12;9;12;12;0;12;0
dk;incremental;True;2;99;3;327;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;global;True;1;23;3;165;1.0;0.75;1.0;0.8571428571428571;1.0;3;4;3;3;3;0;3;0
dk;incremental;True;2;100;5;327;0.6666666666666666;0.3333333333333333;0.4;0.4444444444444444;0.5;5;6;2;3;3;0;3;0
