infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;68;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;69;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;70;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;71;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;72;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;73;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;74;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;75;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;76;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;77;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;78;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;79;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;80;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;81;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;82;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;83;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;84;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;85;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;86;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;87;2;9;0;0;0;0;0;2;2;0;0;0;0;0;0
dk;incremental;True;1;88;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;89;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;90;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;91;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;92;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;93;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;94;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;95;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;96;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;97;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;98;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;99;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;100;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;2;2;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;3;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;4;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;5;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;6;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;7;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;8;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;9;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;10;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;11;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;12;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;13;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;14;1;20;0;0;0;0;0;1;2;0;0;0;0;0;0
dk;incremental;True;2;15;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;16;1;20;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;2;17;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;18;1;20;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;2;19;0;20;0;0;0;0;0;0;2;0;0;0;0;0;0
dk;incremental;True;2;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;21;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;22;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;23;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;24;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;25;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;26;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;27;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;28;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;29;1;20;0;0;0;0;0;1;2;0;0;0;0;0;0
dk;incremental;True;2;30;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;31;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;32;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;33;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;34;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;35;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;36;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;37;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;38;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;39;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;40;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;41;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;42;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;43;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;44;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;45;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;46;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;47;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;48;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;49;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;50;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;51;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;52;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;53;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;54;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;55;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;56;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;57;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;58;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;59;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;60;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;61;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;62;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;63;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;64;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;65;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;66;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;67;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;68;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;69;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;70;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;71;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;72;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;73;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;74;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;75;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;76;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;77;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;78;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;79;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;80;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;81;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;82;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;83;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;84;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;85;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;86;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;87;2;20;0;0;0;0;0;2;2;0;0;0;0;0;0
dk;incremental;True;2;88;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;89;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;90;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;91;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;92;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;93;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;94;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;95;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;96;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;97;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;98;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;99;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;100;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;2;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;3;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;4;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;5;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;6;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;7;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;8;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;9;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;10;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;11;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;12;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;13;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;14;1;9;0;0;0;0;0;1;2;0;0;0;0;0;0
dk;incremental;True;1;15;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;16;1;9;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;1;17;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;18;1;9;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;1;19;0;9;0;0;0;0;0;0;2;0;0;0;0;0;0
dk;incremental;True;1;20;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;21;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;22;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;23;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;24;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;25;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;26;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;27;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;28;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;29;1;9;0;0;0;0;0;1;2;0;0;0;0;0;0
dk;incremental;True;1;30;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;31;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;32;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;33;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;34;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;35;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;36;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;37;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;38;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;39;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;40;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;41;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;42;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;43;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;44;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;45;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;46;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;47;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;48;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;49;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;50;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;51;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;52;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;53;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;54;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;55;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;56;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;57;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;58;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;59;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;60;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;61;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;62;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;63;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;64;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;65;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;66;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;67;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;68;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;69;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;70;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;71;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;72;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;73;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;74;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;75;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;76;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;77;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;78;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;79;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;80;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;81;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;82;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;83;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;84;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;85;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;86;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;87;2;9;0;0;0;0;0;2;2;0;0;0;0;0;0
dk;incremental;True;1;88;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;89;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;90;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;91;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;92;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;93;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;94;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;95;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;96;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;97;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;98;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;1;99;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;100;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;2;2;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;3;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;4;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;5;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;6;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;7;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;8;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;9;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;incremental;True;2;10;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;11;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;12;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
